x,y,dy
-70,0,0.03
-60,0,0.03
-50,0,0.03
-40,0,0.03
-30.,-0.22,0.03
-20.,-0.60,0.06
-10.,-0.88,0.05
0,-1,0.03
10.,-0.87,0.04
20,-0.6,0.06
30,-0.4,0.06
40,-0.18,0.06
50.,0.00,0.06
