x, y,dy
-50,0,0.001
-40,0,0.001
-30,-0.02,0.018
-20,0,0.07
-10,0.2,0.12
0,0.57,0.09
10,0.91,0.06
20,1,0.01
30,0.79,0.11
40,0.47,0.1
50,0.21,0.06
60,0.12,0.05
70,0.09,0.06
