x,y,dy
-70,0,0.03
-60,0,0.03
-50,0,0.03
-40,0,0.03
-30,-0.06,0.03
-20,-0.25,0.06
-10,-0.65,0.05
-0,-1.,0.03
10,-0.95,0.03
20,-0.77,0.04
30,-0.53,0.04
40,-0.29,0.05
50,-0.02,0.06
