x, y,dy
0,0,0.01
10,0,0.01
20,0,0.01
30,0.01,0.01
40,0.02,0.01
50,0.04,0.02
60,0.07,0.04
70,0.11,0.04
80,0.16,0.07
90,0.25,0.05
100,0.31,0.07
110,0.39,0.07
120,0.46,0.08
130,0.54,0.07
140,0.62,0.05
150,0.67,0.05
160,0.73,0.05
170,0.79,0.03
180,0.83,0.03
190,0.87,0.03
200,0.91,0.01
210,0.94,0.01
220,0.96,0.01
230,0.98,0.01
240,0.99,0.01
