x, y, dy
-60,0,0.01
-50,0,0.01
-40,-0.02,0.03
-30,-0.25,0.2
-20,-0.73,0.1
-10,-0.97,0.03
0,-0.78,0.06
10,-0.47,0.1
20,-0.31,0.03
30,-0.12,0.01
40,0.01,0.01
