x, y,dy
-140,0,0.01
-120,0,0.01
-120,0.03,0.02
-110,0.06,0.03
-100,0.1,0.04
-90,0.16,0.06
-80,0.24,0.08
-70,0.25,0.1
-60,0.48,0.11
-50,0.6,0.1
-40,0.73,0.09
-30,0.83,0.07
-20,0.92,0.05
-10,0.97,0.03
0,1,0.01
10,1,0.01
20,1,0.01
30,1,0.01
40,1,0.01
